X,Y,Z
-0.05,-0.05,0.91
-0.08,-0.05,0.9
-0.05,-0.06,0.92
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.99
-0.06,-0.06,0.98
-0.06,-0.06,0.99
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.98
-0.06,-0.06,0.98
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.05,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.05,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.05,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.05,-0.06,1.0
-0.06,-0.05,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.05,-0.06,1.0
-0.05,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.05,-0.06,1.0
-0.05,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.05,-0.06,1.0
-0.05,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.05,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.05,-0.06,1.0
-0.05,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.05,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.05,0.99
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.07,1.0
-0.05,-0.06,1.0
-0.05,-0.06,1.0
-0.05,-0.05,1.0
-0.06,-0.06,0.99
-0.07,-0.06,0.98
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.05,-0.06,1.01
-0.05,-0.05,1.01
-0.06,-0.05,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.98
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.05,-0.06,1.0
-0.05,-0.06,1.0
-0.06,-0.06,1.0
-0.06,-0.06,0.99
-0.06,-0.06,0.99
-0.06,-0.06,1.0
-0.05,-0.06,1.0
