X,Y,Z
0.01,-0.07,1.03
0.01,-0.1,1.05
0.03,-0.06,0.98
0.02,-0.02,0.94
0.01,-0.04,0.99
0.01,-0.09,1.06
0.02,-0.08,1.03
0.03,-0.04,0.95
0.02,-0.03,0.95
0.01,-0.07,1.03
0.01,-0.1,1.05
0.02,-0.06,0.99
0.02,-0.02,0.94
0.01,-0.04,0.99
0.01,-0.09,1.05
0.02,-0.09,1.03
0.03,-0.04,0.95
0.02,-0.02,0.95
0.01,-0.07,1.03
0.01,-0.09,1.05
0.03,-0.06,0.99
0.02,-0.02,0.94
0.01,-0.04,0.99
0.01,-0.09,1.06
0.02,-0.09,1.03
0.03,-0.04,0.95
0.01,-0.03,0.95
0.0,-0.07,1.03
0.01,-0.1,1.05
0.03,-0.06,0.98
0.02,-0.02,0.94
0.01,-0.04,0.99
0.01,-0.09,1.06
0.02,-0.08,1.02
0.03,-0.04,0.95
0.01,-0.03,0.95
0.01,-0.07,1.03
0.02,-0.1,1.05
0.03,-0.06,0.98
0.02,-0.02,0.94
0.01,-0.04,0.99
0.01,-0.09,1.05
0.02,-0.08,1.03
0.03,-0.04,0.95
0.02,-0.03,0.95
0.01,-0.07,1.03
0.01,-0.1,1.05
0.02,-0.06,0.98
0.02,-0.02,0.94
0.01,-0.04,0.99
0.01,-0.09,1.05
0.02,-0.08,1.02
0.03,-0.04,0.96
0.02,-0.03,0.96
0.01,-0.07,1.03
0.01,-0.09,1.05
0.02,-0.06,0.98
0.02,-0.02,0.94
0.01,-0.04,0.99
0.01,-0.09,1.06
0.02,-0.08,1.02
0.03,-0.04,0.95
0.02,-0.03,0.95
0.01,-0.07,1.03
0.01,-0.09,1.05
0.03,-0.06,0.98
0.02,-0.02,0.94
0.01,-0.04,0.99
0.01,-0.09,1.06
0.02,-0.08,1.02
0.03,-0.04,0.95
0.01,-0.03,0.95
0.0,-0.07,1.03
0.01,-0.1,1.05
0.03,-0.06,0.98
0.02,-0.02,0.94
0.01,-0.05,0.99
0.01,-0.09,1.06
0.02,-0.08,1.02
0.03,-0.04,0.95
0.01,-0.03,0.96
0.01,-0.07,1.03
0.02,-0.1,1.05
0.03,-0.06,0.98
0.02,-0.02,0.94
0.01,-0.05,0.99
0.01,-0.09,1.06
0.02,-0.08,1.02
0.03,-0.03,0.95
0.02,-0.03,0.96
0.01,-0.07,1.03
0.02,-0.09,1.05
0.03,-0.06,0.98
0.02,-0.02,0.94
0.0,-0.04,0.99
0.01,-0.09,1.06
0.03,-0.08,1.03
0.02,-0.04,0.94
0.01,-0.03,0.95
0.01,-0.07,1.04
0.01,-0.09,1.05
0.03,-0.05,0.98
0.02,-0.02,0.94
0.01,-0.05,1.0
0.02,-0.1,1.05
0.03,-0.07,1.02
0.01,-0.04,0.94
0.03,-0.03,0.95
0.01,-0.08,1.04
0.0,-0.09,1.06
0.03,-0.05,0.97
0.03,-0.02,0.92
0.0,-0.05,1.01
-0.0,-0.09,1.08
0.02,-0.07,1.01
0.03,-0.03,0.93
0.02,-0.03,0.96
-0.0,-0.08,1.06
0.02,-0.09,1.06
0.03,-0.05,0.96
0.02,-0.02,0.92
0.01,-0.06,1.02
-0.0,-0.09,1.08
0.02,-0.07,1.01
0.03,-0.03,0.92
0.02,-0.04,0.97
-0.0,-0.08,1.06
0.01,-0.08,1.05
0.04,-0.05,0.95
0.03,-0.02,0.93
0.0,-0.06,1.02
0.01,-0.09,1.08
0.03,-0.07,1.01
0.02,-0.03,0.92
0.01,-0.03,0.97
0.0,-0.08,1.06
0.01,-0.09,1.05
0.02,-0.04,0.95
0.02,-0.02,0.92
0.01,-0.06,1.02
0.0,-0.09,1.08
0.02,-0.07,1.01
0.03,-0.02,0.92
0.02,-0.03,0.96
0.0,-0.08,1.06
0.01,-0.09,1.05
0.03,-0.05,0.96
0.02,-0.02,0.93
0.01,-0.05,1.01
0.01,-0.09,1.07
0.02,-0.07,1.01
0.03,-0.03,0.94
0.01,-0.03,0.96
0.01,-0.07,1.04
0.01,-0.09,1.06
0.04,-0.05,0.97
0.03,-0.02,0.93
0.01,-0.05,1.0
0.0,-0.1,1.06
0.02,-0.09,1.01
0.03,-0.03,0.92
0.01,-0.03,0.97
0.0,-0.07,1.07
0.01,-0.09,1.05
0.03,-0.04,0.95
0.03,-0.03,0.93
0.01,-0.06,1.02
0.0,-0.09,1.08
0.02,-0.07,1.0
0.03,-0.03,0.92
0.01,-0.03,0.97
0.01,-0.08,1.07
0.02,-0.08,1.05
0.02,-0.05,0.95
0.02,-0.03,0.92
-0.0,-0.06,1.02
0.0,-0.09,1.08
0.03,-0.07,1.01
0.02,-0.03,0.93
0.01,-0.03,0.97
0.0,-0.07,1.06
0.02,-0.09,1.05
0.03,-0.05,0.95
0.02,-0.03,0.92
0.0,-0.06,1.02
0.0,-0.09,1.08
0.02,-0.07,1.0
0.02,-0.03,0.92
0.01,-0.03,0.97
0.0,-0.08,1.06
0.01,-0.1,1.05
0.05,-0.06,0.95
0.03,-0.02,0.93
-0.01,-0.04,1.02
0.0,-0.09,1.08
0.02,-0.07,1.0
0.02,-0.02,0.92
0.01,-0.04,0.97
0.01,-0.09,1.07
0.02,-0.09,1.05
0.03,-0.05,0.95
0.02,-0.03,0.93
0.01,-0.06,1.02
0.01,-0.09,1.07
0.02,-0.07,0.99
0.03,-0.03,0.92
0.01,-0.03,0.97
-0.0,-0.08,1.07
0.01,-0.09,1.05
0.03,-0.05,0.95
0.02,-0.02,0.93
0.0,-0.06,1.02
0.01,-0.1,1.08
0.03,-0.07,1.0
0.03,-0.03,0.92
0.01,-0.04,0.97
0.0,-0.08,1.07
0.01,-0.08,1.05
0.03,-0.05,0.95
0.02,-0.03,0.93
0.01,-0.06,1.03
0.01,-0.09,1.07
0.03,-0.07,1.0
0.03,-0.03,0.92
0.01,-0.04,0.97
0.0,-0.08,1.07
0.01,-0.09,1.05
0.03,-0.05,0.94
0.02,-0.02,0.93
0.0,-0.06,1.03
0.0,-0.09,1.08
0.03,-0.07,0.99
0.03,-0.03,0.92
0.02,-0.04,0.97
0.0,-0.08,1.07
0.02,-0.09,1.05
0.03,-0.05,0.94
0.02,-0.02,0.93
0.0,-0.06,1.03
0.0,-0.1,1.07
0.02,-0.07,0.99
0.02,-0.03,0.92
0.0,-0.03,0.98
0.0,-0.08,1.07
0.02,-0.09,1.05
0.03,-0.04,0.94
